princeps,interacted_with,verdict
ABATACEPT,ANTI-TNF ALPHA,Association DECONSEILLEE
ABATACEPT,VACCINS VIVANTS ATTÉNUÉS,Association DECONSEILLEE
ABIRATERONE,ANTICONVULSIVANTS INDUCTEURS ENZYMATIQUES,Association DECONSEILLEE
ABIRATERONE,FLECAINIDE,Précaution d'emploi
ABIRATERONE,METOPROLOL,Précaution d'emploi
ABIRATERONE,PROPAFENONE,Précaution d'emploi
ABIRATERONE,RIFAMPICINE,Association DECONSEILLEE
ACETAZOLAMIDE,ACIDE ACETYLSALICYLIQUE,Association DECONSEILLEE
ACETAZOLAMIDE,CARBAMAZEPINE,Précaution d'emploi
ACETAZOLAMIDE,LITHIUM,Précaution d'emploi
ACETAZOLAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi
ACIDE ACETOHYDROXAMIQUE,FER,A prendre en compte
ACIDE ACETYLSALICYLIQUE,ACETAZOLAMIDE,Association DECONSEILLEE
ACIDE ACETYLSALICYLIQUE,ANAGRELIDE,Association DECONSEILLEE
ACIDE ACETYLSALICYLIQUE,ANTAGONISTES DES RÉCEPTEURS DE L'ANGIOTENSINE II,Précaution d'emploi
ACIDE ACETYLSALICYLIQUE,ANTICOAGULANTS ORAUX,CI - ASDEC - APEC
ACIDE ACETYLSALICYLIQUE,ANTI-INFLAMMATOIRES NON STÉROÏDIENS,ASDEC - APEC
ACIDE ACETYLSALICYLIQUE,CLOPIDOGREL,ASDEC - PE
ACIDE ACETYLSALICYLIQUE,COBIMÉTINIB,Précaution d'emploi
ACIDE ACETYLSALICYLIQUE,DEFERASIROX,A prendre en compte
ACIDE ACETYLSALICYLIQUE,DIURÉTIQUES,Précaution d'emploi
ACIDE ACETYLSALICYLIQUE,GLUCOCORTICOÏDES (SAUF HYDROCORTISONE),ASDEC - APEC
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),ASDEC - APEC
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES PRÉVENTIVES),A prendre en compte
ACIDE ACETYLSALICYLIQUE,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi
ACIDE ACETYLSALICYLIQUE,INHIBITEURS SÉLECTIFS DE LA RECAPTURE DE LA SÉROTONINE,A prendre en compte
ACIDE ACETYLSALICYLIQUE,MÉDICAMENTS MIXTES ADRÉNERGIQUES-SÉROTONINERGIQUES,A prendre en compte
ACIDE ACETYLSALICYLIQUE,METHOTREXATE,CI - PE
ACIDE ACETYLSALICYLIQUE,NICORANDIL,Association DECONSEILLEE
ACIDE ACETYLSALICYLIQUE,PEMETREXED,ASDEC - PE
ACIDE ACETYLSALICYLIQUE,PENTOXIFYLLINE,A prendre en compte
ACIDE ACETYLSALICYLIQUE,PROBENECIDE,Association DECONSEILLEE
ACIDE ACETYLSALICYLIQUE,THROMBOLYTIQUES,A prendre en compte
ACIDE ACETYLSALICYLIQUE,TICAGRELOR,ASDEC - PE
ACIDE ACETYLSALICYLIQUE,TICLOPIDINE,Association DECONSEILLEE
ACIDE ASCORBIQUE,CICLOSPORINE,A prendre en compte
ACIDE ASCORBIQUE,DÉFÉRIPRONE,Précaution d'emploi
ACIDE ASCORBIQUE,DÉFÉROXAMINE,Précaution d'emploi
ACIDE CHOLIQUE,"PHÉNOBARBITAL (ET, PAR EXTRAPOLATION, PRIMIDONE)",CONTRE-INDICATION
ACIDE CLODRONIQUE,ESTRAMUSTINE,Précaution d'emploi
